2025-09-30 21:05 [0] : Class "Page" not found (File : C:\wamp64\www\420-kb9-projet\index.php, Line : 5)
2025-09-30 21:20 [0] : Undefined constant "IS_POST" (File : C:\wamp64\www\420-kb9-projet\contact.php, Line : 29)
2025-09-30 21:20 [0] : Undefined constant "IS_POST" (File : C:\wamp64\www\420-kb9-projet\contact.php, Line : 29)
2025-09-30 21:20 [0] : Undefined constant "IS_POST" (File : C:\wamp64\www\420-kb9-projet\contact.php, Line : 29)
2025-09-30 21:20 [0] : Undefined constant "IS_POST" (File : C:\wamp64\www\420-kb9-projet\contact.php, Line : 29)
2025-09-30 21:20 [0] : Undefined constant "IS_POST" (File : C:\wamp64\www\420-kb9-projet\contact.php, Line : 29)
2025-09-30 21:21 [0] : Undefined constant "IS_POST" (File : C:\wamp64\www\420-kb9-projet\contact.php, Line : 29)
2025-09-30 21:21 [0] : Undefined constant "IS_POST" (File : C:\wamp64\www\420-kb9-projet\contact.php, Line : 29)
2025-09-30 21:21 [0] : Undefined constant "IS_POST" (File : C:\wamp64\www\420-kb9-projet\contact.php, Line : 29)
2025-09-30 21:21 [0] : Undefined constant "IS_POST" (File : C:\wamp64\www\420-kb9-projet\contact.php, Line : 29)
2025-09-30 21:21 [0] : Undefined constant "IS_POST" (File : C:\wamp64\www\420-kb9-projet\contact.php, Line : 29)
